영화명,리뷰,word
공수도,학교폭력이 소재라서 좀 아이러니하게 들리지만 동화책 본 것 같이 순수하게 느껴졌음,학교폭력 아이러니 들리다 동화책 순수하다 느껴지다 
공수도,코로나19로 답답했던 마음 아주 시원하게 뻥 뚫어주는 재미있는 영화,답답하다 마음 시원하다 뚫다 재미있다 
핀란드 메탈밴드,심포닉 종말 이후 순록 분쇄 안티 기독 극렬 이단 전쟁광 페노스칸디아 메탈,종말 순록 분쇄 안티 기독 극렬 이단 전쟁 메탈 
핀란드 메탈밴드,너무 재밌어요 또 보고 싶어요,재밌다 
기도의 힘,제가 22살인데 봤던 영화중에 가만히 보는데 눈물나던 영화는 처음입니다,눈물나다 
기도의 힘,우연히 보개된 영화 넘 감사한 마음으로 보았습니다,감사하다 마음 
기도의 힘,정말로 내 가족이 내가 변합니다,가족 변하다 
다니엘 이즌 리얼,소재의 흥미로움을 이끌어갈 매력이 없다,흥미 이끌다 매력 
오픈 더 도어,마지막 반전이 오래도록 기억에 남는 독특한 공포스릴러,마지막 반전 기억 독특하다 공포 스릴러 
오픈 더 도어,상실이 갉아먹는다니 마지막씬이 너무 슬프다,상실 갉아먹다 마지막 슬프다 
신과 나: 100일간의 거래,왜 그래 기본은 하는구만 신의 연기들 참 좋았다,신의 좋다 
신과 나: 100일간의 거래,태국영화 의외로 대작많은듯,태국 대작 
더 터닝,잘 나가다니 이 거지 같은 결말은 뭐지,거지 결말 
킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,다이스키다이스키다이스키큥,다이스 키다 
아웃사이더,70년대 한국영화에 흔히 등장했던 이야기가 지루하게 전개되는군,흔하다 지루하다 
아웃사이더,18 완전 시간낭비 캐스팅소트리 꼬라지 하고는 이영화 만든거 자체가 웃겨,낭비 캐스팅 트리 웃기다 
아웃사이더,사람들이 보면 볼수록 고소한 영화,고소하다 
아웃사이더,김문옥씨 필름가지고 이러시면 안됩니다,김문옥 필름 러시 안되다 
엽문4: 더 파이널,영화는큰재미없지만 견자단의 엽문과 지나온 세월에 건배,재미없다 견자단 엽문 세월 건배 
엽문4: 더 파이널,엽문 시리즈  중 최악  아쉽다,엽문 시리즈 최악 아쉽다 
엽문4: 더 파이널,엽문이라는 영화가 있어서 참 좋았다,엽문 좋다 
엽문4: 더 파이널,그전편들도 다시 보게되네요,전편 
엽문4: 더 파이널,견자단 액션 보는걸로 위안삼아야 하는 영화,견자단 액션 위안 
엽문4: 더 파이널,엽문 이라는 타이틀은 견자단의 이름으로 의리로 보는 영화가 아닐까 한다,엽문 타이틀 견자단 의리 
엽문4: 더 파이널,잘 보면 미국인들이 쓰는 무술은 태권도잖아 태권도가 영춘권한테 다 깨지네,미국인 쓰다 무술 태권도 태권도 영춘권 깨지다 
엽문4: 더 파이널,스토리 마무리가 덜 된 느낌이지만 액션은 여전히 좋다,스토리 액션 여전하다 좋다 
엽문4: 더 파이널,내용이야 이전 영화들 복붙 수준인데 액션 시퀀스 만큼은 여전히 만족,액션 시퀀스 여전하다 만족 
엽문4: 더 파이널,이소룡 매니아로써 그의 스승또한 전설이다,이소룡 매니아 스승 전설 
n번째 이별 중,10대 어바웃 타임 버전,어바웃 타임 
n번째 이별 중,차라리 사랑의 블랙홀이나 어바웃 타임을 리메이크하슈,사랑 블랙홀 어바웃 타임 리메이크 
온다,일주일에 거쳐 겨우 다봤다,거치다 
모리의 정원,순진할 정도로 자연스러워,순진하다 자연스럽다 
모리의 정원,키키키린을 만나는 것만으로도 눈물나는 영화,만나다 눈물나다 
그 누구도 아닌,결국 자신으로 돌아오기까지,돌아오다 
그 누구도 아닌,나를 지키기 위한 투쟁의 연속,지키다 투쟁 
첫키스만 50번째,영상미도 좋고 내용도 좋고 배우들도 이쁘고 너무 재미있게 봤네요,좋다 좋다 이쁘다 재미있다 
주디,화려함 뒤에 숨어있는 슬픔의 내면을 아주 잘 표현한 것 같습니다,화려하다 슬픔 내면 
주디,등뼈까지 연기하는 르네 젤위거,등뼈 
주디,주디 갈랜드에 대해 미리 알고 봤더라면 노랠 들으며 마냥 웃을 수 없었겠지,랜드 노랗다 
주디,잔인했던 할리우드의 피해자 주디 갈랜드의 처절했지만 사랑스러운 Over the rainbow,잔인하다 할리우드 피해자 랜드 처절하다 사랑스럽다 
주디,역시 그녀는 무대 체질이었다,무대 체질 
주디,르네젤위거  여우주연상  받을만  했다,르네젤위거 여우주연상 
주디,도로시는 예전이나 지금이나 희망을 주네요 오버 더 레인보우 너무 감동이에요 또 보고 싶은 영화입니다,도로시 희망 주네 오버 레인보우 감동 
주디,르네 젤위거 갓배우의 띵작,띵작 
주디,르네 젤위거 연기도 정말 좋구요 보는 내내 그녀에게 따뜻한 위로를 건네는 느낌이라 좋았습니다,좋다 따뜻하다 위로 건네다 좋다 
주디,화려한 겉모습보다 더욱 공감가는 내면의 고뇌,화려하다 겉모습 공감 내면 고뇌 
주디,르네 젤위거 버젼의 Over the rainbow 너무 좋네요,버젼 좋다 
스케어리 스토리:어둠의 속삭임,스타일이나 내용은 평범하나 괴물등의 비주얼이 비교적 괜찮다,스타일 평범하다 괴물 비교 괜찮다 
스케어리 스토리:어둠의 속삭임,식상하지만 흥미진진하게 풀어간다,식상하다 흥미진진 풀다 
스케어리 스토리:어둠의 속삭임,game dead by daylight 는 어서 이 영화의 저작권을 채오기를,저작권 오기 
스케어리 스토리:어둠의 속삭임,문방구에서 파는 500원짜리 공포소설에도 이보다 좋은 이야기들이 있다,문방구 팔다 공포소설 좋다 
스케어리 스토리:어둠의 속삭임,왜 기예르모 델 토로 제작으로 홍보했는지 알 수 있는 만듦새,토로 홍보 
스케어리 스토리:어둠의 속삭임,나름 괜찮게 본 미국판 전설의 고향,괜찮다 미국 전설 고향 
스케어리 스토리:어둠의 속삭임,제목은 무서운 이야기지만  내용은 청소년 공포체험 수준,무섭다 청소년 공포 체험 
스케어리 스토리:어둠의 속삭임,12세용 boring story 호러물,호러물 
스케어리 스토리:어둠의 속삭임,아이들이 나와서 그러나 딱 아이들공포영화수준,공포영화 
스케어리 스토리:어둠의 속삭임,안무서움  아무튼 안무서움,무서움 무서움 
사랑하고 있습니까,별로   기억은  없고  배우   전미선만  기억나네요,별로 기억 전미선 기억나다 
사랑하고 있습니까,기대없이 봤는데 너무 재밌었어요,기대 재밌다 
사랑하고 있습니까,아직못봤지만 소소일꺼같은데,소일 
사랑하고 있습니까,주연배우가 갑질하는 영화라고해서 볼까말까 망설여짐,까맣다 망설이다 
사랑하고 있습니까,따뜻한 봄과 함께 따뜻한 영화가 보고싶네,따뜻하다 따뜻하다 
이장,살아 온 삶에 따라 반 쯤 공감,따르다 공감 
이장,잔잔하게 각자의 삶을 다 보여 주면서 대화해 가는 가족의 모습이 솔직하고 담백합니다,잔잔하다 대화 가족 솔직하다 담백하다 
이장,정말 기대하고 있어요 예고편만 봐도 재밌네요,기대하다 재밌다 
비행,오디오 안좋은거 빼고는 다 좋았네,오디오 안좋다 좋다 
비행,긴장감 몰입감 느낄수 있어서 좋았어요 사실적인 묘사,긴장감 몰입 느끼다 좋다 묘사 
파라다이스 힐스,특별한 매력없이 전개되는 익숙한 설정,특별하다 매력 익숙하다 
파라다이스 힐스,천국이라도 있고 싶지 않으면 지옥,천국 지옥 
파라다이스 힐스,색감이나 의상들이 이뻐서 시간가는줄 몰랐어요,색감 의상 이쁘다 
스킨,매우 감동스러운 영화 한편이였다,감동 
산티아고의 흰 지팡이,한 번쯤 가보고 싶은 여정,여정 
용길이네 곱창집,38분정도에 작은아버지 찾으려온 조카와 둘째 딸이 키스하는거 이해불가,작은아버지 조카 둘째 키스 불가 
용길이네 곱창집,국뽕과 어설픈 도덕성드립의 색안경벗고 그냥 작품만으로 보실수있는 분들한텐 추천할만하네요,국뽕 어설프다 도덕성 드립 색안경 벗다 추천 
용길이네 곱창집,재일동포를 막장과 게으름으로 얼룩지게 만든 한국인으로 그런 부분들이 너무 화가 나네요,재일동포 막장 게으름 얼룩지다 한국인 화가 
다크 워터스,보면서 삼성 생각나는건 왜일까,삼성 생각나다 
다크 워터스,거대자본이 얼마나 무서운지 뼈저리게 느끼게 해주는 영화입니다,거대 무섭다 느끼다 
다크 워터스,진짜 너무 재밌어서 2시때쯤 어떤 영화인지 잠시 볼려다가 4시까지 끝까지 다 봄,재밌다 
다크 워터스,온 땅을 뒤엎는 지진이 아니라 바위를 침식하는 파도와 같이,뒤엎는 지진 바위 침식 파도 
다크 워터스,아무리 힘들고 어려운 길이라도 양심대로 가자,힘들다 어렵다 길이 양심 
다크 워터스,내 피 속에 흐르는 탐욕과 부패의 산물,흐르다 탐욕 부패 산물 
다크 워터스,찰나의 뉴스보다 더 깊이 각인되기를,찰나 뉴스 깊이 각인 기르다 
다크 워터스,주인공 같은 유전자 퍼트려야함 그래야 탐관오리들 조지지,유전자 퍼트 야하다 탐관 오리 조지 
더 보이 2: 돌아온 브람스,쪼는 맛 없이 편하게 볼 수 있다는 건 장점이자 단점,편하다 단점 
더 보이 2: 돌아온 브람스,브람스의 공허한 무표정 내표정도 공허함 가득,브람스 공허하다 무표정 표정 공허하다 
더 보이 2: 돌아온 브람스,무엇보다 이렇게 무난하다 못해 뻔한 결말은 뭥미,무난 뻔하다 결말 
더 보이 2: 돌아온 브람스,사탄의 인형을 재미없게 만들면 이런 영화가 됨,사탄 인형 재미없다 
더 보이 2: 돌아온 브람스,1편보고 궁금해서 봤는데 또 다르게 재미있었다 이 감독 다음작도 궁금,궁금하다 다르다 재미있다 작도 궁금 
찬실이는 복도 많지,강말금씨 연기 정말좋네요,좋다 
찬실이는 복도 많지,왜 인사이드르윈이 생각나는건지,인사 이드 르윈 생각나다 건지다 
찬실이는 복도 많지,딱 한마디로 영화가 지루하고 잼이없다,지루하다 
찬실이는 복도 많지,설정인가 싶어도 너무한 발연기 이딴걸 영화라고 첫주연하니 그런가 심함,너무하다 발연기 심하다 
찬실이는 복도 많지,찬실이 보다 더 찬실이 스러운 감독님의 즐겁고 귀여운 영화,즐겁다 귀엽다 
찬실이는 복도 많지,열정과 애정으로 인생 걸었다 힘들어진 이들은 이 마음 알아요,열정 애정 인생 힘들다 마음 
찬실이는 복도 많지,강말금에게 찬사와 사랑을,강말금 찬사 사랑 
찬실이는 복도 많지,모두를 위한 고민과 위로,고민 위로 
찬실이는 복도 많지,삶이 영화 그 자체인 사람들을 어떻게 사랑하지 않을 수 있나요,사랑 
울프 콜,이렇게 몰입되고 긴장되며 디테일한 군사 영화는 첨인듯,몰입 긴장 디테일 군사 
울프 콜,깡패들에게 보내는 심각한 경고,깡패 보내다 심각하다 경고 
울프 콜,가진 건 귀밖에 없는 남자가 소중한 고막을 잃고 미모의 여친을 얻는 등가교환의 러브스토리,가지다 남자 소중하다 고막 잃다 미모 등가교환 러브스토리 
울프 콜,사족도 있지만 긴장감은 탁월,사족 긴장감 탁월 
울프 콜,잠수함 영화 3위안에 들어갈듯 뒤로 갈수록 괜찮아짐,잠수함 들어가다 괜찮다 
울프 콜,긴장감을 놓치지 않은 수작,긴장감 놓치다 수작 
울프 콜,중반까지 지루함만 버티면 그 이후부턴 꿀잼 모드,지루함 버티다 꿀잼 모드 
울프 콜,코로나 뚫고 가서 볼 만하다,뚫다 
울프 콜,마지막까지 긴장을 놓을수 없는 흥미진진한 영화,마지막 긴장 흥미진진 
그링고,액션과 코미디 이야기를 짜깁기하여 급조해서 만든 듯한 어설픔과 노잼,액션 코미디 기하 조해 어설프다 노잼 
그링고,지푸라기라도 잡고싶은짐승들이랑 같이 난잡하네,지푸라기 짐승 난잡하다 
그링고,죽고 죽이는 대환장의 소동극,죽다 죽이다 소동 
시원찮은 그녀를 위한 육성방법 피날레,사람마다 역겨울수도 있을듯 전 재미있게봄,역겹다 재미있다 
빈폴,피폐해진 삶 속에서도 희망을 갈구하는 몸부림,폐해 희망 갈구다 몸부림 
빈폴,눈을 사로잡는 적록의 강렬한 미장센,강렬하다 미장센 
장마,약간 신파적으로 흐르는게 단점이지만 황정순 여사님의 눈물겨운 연기가 이를 뛰어넘는다,신파 흐르다 단점 황정순 여사 눈물 이르다 뛰어넘다 
장마,한국영화사의 거장 유현목 감독님,한국 거장 유현목 
장마,유년시절의 아련한 시골정취가 스쳐지나가네요,유년 시절 아련하다 시골 정취 스치다 지나가다 
장마,잘풀어낸 전쟁중의 가족갈등,풀다 전쟁 가족 갈등 
인비저블맨,전체적인스토리 이해다할수있으면 잼있는영화인듯요,스토리 
인비저블맨,공포 서스펜스라는데 공포도 없고 서스펜스도 없다 결정적으로 재미도 없고 지루하다,공포 서스펜스 공포 서스펜스 결정 재미 지루하다 
인비저블맨,여자가 잘못 들어와 집안을 망쳤다,여자 잘못 들어오다 집안 망치다 
인비저블맨,이전 영화들이 워낙 쇼킹해서 좀 싱거운 면도 있지만 긴장감있고 재미있게 보았음,쇼킹 싱겁다 면도 긴장감 재미있다 
